Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity BOTV1	Intensity BOTV2	Intensity BOTV3	Intensity P1G1	Intensity P1G10	Intensity P1G5	Intensity P2A1	Intensity P2A10	Intensity P2A11	Intensity P2A2	Intensity P2A3	Intensity P2A5	Intensity P2A6	Intensity P2A7	Intensity P2A9	Intensity TOPV1	Intensity TOPV2	Intensity TOPV3
Eukaryota	Superkingdom	Eukaryota								518385400	926266700	673209000	490790800	280880000	689396000	718185300	948213000	713776800	606887900	688132000	238055900	286942400	355699200	914922100	501756000	228720200	441570000
Holdemanella biformis	Species	Bacteria		Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis	0	86022200	0	0	0	107269000	0	0	23835000	0	0	0	0	0	0	0	11518000	0
Ruminococcus champanellensis	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus champanellensis	0	0	0	0	0	17638000	11289000	0	0	0	11823000	0	8425500	10320000	34077000	16582000	0	83887000
Collinsella	Genus	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		1337456000	4100481000	7242944100	2495036000	6250859100	5699382600	629658800	4059975900	2701517600	376134300	675405700	1938763600	2649885500	1901401600	3777356700	3401398400	4394327100	7755746300
Actinobacteria	Class	Bacteria		Actinobacteria	Actinobacteria					2104431700	475643700	1745203700	2477302500	2559828000	911958000	4570197200	9571945100	6420716900	3522558800	4666191500	1365738500	2099713000	1532532900	8832600200	2034172800	1156337100	2768818200
Fusobacteriales	Order	Bacteria		Fusobacteria	Fusobacteriia	Fusobacteriales				0	0	29406000	0	106921000	0	104450000	15997000	0	0	54657000	0	30668000	0	0	46331000	0	117867000
Fusobacteriia	Class	Bacteria		Fusobacteria	Fusobacteriia					0	0	29406000	0	106921000	0	104450000	15997000	0	0	54657000	0	30668000	0	0	46331000	0	117867000
Verrucomicrobiae	Class	Bacteria		Verrucomicrobia	Verrucomicrobiae					0	6979000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103600
Prevotella pallens	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella pallens	0	11610000	0	0	0	0	0	0	0	0	0	34126900	58973000	35131000	0	0	8577400	0
Bacteroides massiliensis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides massiliensis	422458600	18806000	63542000	3090557400	484278100	296452000	1190977600	472276500	167123100	1142920200	1250857400	143358000	262937000	202075500	234503300	7519901800	69820000	1462190000
